urdu,roman_urdu
اُنہوں نے پورا کام کر دیا,unhone poora kaam kar diya
اُنہوں نے میسج نہیں کِیا ابھی تک,unhone message nahi kiya abhi tak
اُنہوں نے نہیں آنا تھا پھر بھی آ گئے,unhone nahi aana tha phir bhi aa gaye
اُنہوں نے سب کو بتا دیا,unhone sab ko bata diya
اُنہوں نے پروجیکٹ ڈیلیٹ کر دیا,unhone project delete kar diya
کیسی لگ رہی ہے اب,kaisi lag rahi hai ab
کیسی ہے تیری طبیعت,kaisi hai teri tabiyat
کیسی رہی میٹنگ آج,kaisi rahi meeting aaj
یہ کیسی بات ہے,yeh kaisi baat hai
کیسی پرفارمنس دی اُس نے,kaisi performance di usne
کیسی لگی موویز تمہیں,kaisi lagi movie tumhe
کیسی ہے زندگی آج کل,kaisi hai zindagi aaj kal
کیسی سچویشن ہے وہاں,kaisi situation hai wahan
کیسے ہو یار,kaise ho yaar
کیسے کر لیا تو نے یہ,kaise kar liya tune yeh
کیسے پتہ چلا تجھے,kaise pata chala tujhe
کیسے چلے گا یہ کام,kaise chalega yeh kaam
کیسے جاؤ گے وہاں,kaise jaoge wahan
کیسے ہوا یہ سب,kaise hua yeh sab
کیسے مینیج کرتا ہے تُو,kaise manage karta hai tu
کیسے بن گئی اتنی جلدی,kaise ban gayi itni jaldi
کیسا لگا کل کا ایگزام,kaisa laga kal ka exam
کیسا چل رہا ہے کام,kaisa chal raha hai kaam
کیسا تھا وہ بندہ,kaisa tha woh banda
کیسا سین ہے وہاں آج کل,kaisa scene hai wahan aaj kal
کیسا رہا انٹرویو تیرا,kaisa raha interview tera
کیسا فون لیا ہے تو نے,kaisa phone liya hai tune
کیسا موسم ہے کل سے,kaisa mausam hai kal se
کیسا لگتا ہے تجھے یہاں,kaisa lagta hai tujhe yahan
ویسے تو نے کھانا کھایا کیا,waisay tune khaana khaya kya
ویسے مجھے پتہ تھا یہی ہوگا,waisay mujhe pata tha yahi hoga
ویسے کوئی ضرورت نہیں تھی,waisay koi zaroorat nahi thi
ویسے کیا پلان ہے کل کا,waisay kya plan hai kal ka
ویسے اُس نے صحیح کہا تھا,waisay usne sahi kaha tha
ویسے مجھے بھی وہی لگتا ہے,waisay mujhe bhi wahi lagta hai
ویسے یہ ایپ بہت یوزفل ہے,waisay yeh app bahut useful hai
ویسے کل میٹنگ کینسل ہو گئی,waisay kal meeting cancel ho gayi
اُس نے بولا نہیں تھا تب بھی سب کو پتہ تھا,usne bola nahi tha tab bhi sab ko pata tha
تب بھی مَیں نہیں مانا تھا,tab bhi main nahi mana tha
وہ تب بھی یہی کرتا تھا,woh tab bhi yahi karta tha
تب بھی اُس نے معافی نہیں مانگی,tab bhi usne maafi nahi maangi
تب بھی میسج نہیں کِیا,tab bhi message nahi kiya
پہلے بھی برا تھا تب بھی کچھ نہیں بولا,pehle bhi bura tha tab bhi kuch nahi bola
تب بھی سگنل نہیں آتا تھا,tab bhi signal nahi aata tha
کچھ نہیں بدلا تب بھی وہی کام,kuch nahi badla tab bhi wahi kaam
اب بھی وہی پرابلم ہے,ab bhi wahi problem hai
اب بھی میسج نہیں کِیا اُس نے,ab bhi message nahi kiya usne
اب بھی سوچ رہا ہوں کیا کرنا ہے,ab bhi soch raha hun kya karna hai
اب بھی وائی فائی نہیں چل رہا,ab bhi wifi nahi chal raha
اب بھی اُسی سے بات کرتا ہے,ab bhi usi se baat karta hai
اب بھی پہلے والی ایپ یوز کرتا ہوں,ab bhi pehle wali app use karta hun
اب بھی تھک جاتا ہوں جلدی,ab bhi thak jaata hun jaldi
اب بھی فون سلو ہے اپڈیٹ کے بعد,ab bhi phone slow hai update ke baad
مَیں جم جا رہا ہوں,main gym ja raha hun
مَیں ابھی جا رہا ہوں واپس,main abhi ja raha hun wapas
مَیں آفس جا رہا ہوں صبح سے,main office ja raha hun subah se
مَیں باہر جا رہا ہوں کچھ کام ہے,main bahar ja raha hun kuch kaam hai
مَیں وہاں جا رہا ہوں کل,main wahan ja raha hun kal
کہاں جا رہا ہوں پتہ نہیں,kahan ja raha hun pata nahi
مَیں جلدی جا رہا ہوں ویٹ مت کرو,main jaldi ja raha hun wait mat karo
مَیں اُس سے ملنے جا رہا ہوں,main us se milne ja raha hun
میں آ رہا ہوں دس منٹ میں,main aa raha hun das minute mein
مَیں وہاں آ رہا ہوں ابھی,main wahan aa raha hun abhi
مَیں آ رہا ہوں رک جاؤ,main aa raha hun ruk jao
مَیں سیدھا گھر آ رہا ہوں,main seedha ghar aa raha hun
مَیں تمہارے پاس آ رہا ہوں,main tumhare paas aa raha hun
مَیں کھانا لے کے آ رہا ہوں,main khaana la ke aa raha hun
مَیں تھوڑا لیٹ آ رہا ہوں سوری,main thoda late aa raha hun sorry
مَیں کل آ رہا ہوں کنفرم ہے,main kal aa raha hun confirm hai
معافی مانگو,maafi mango
اُس سے معافی مانگو,usse maafi maango
میں نے معافی مانگ لی,maine maafi maang li
ابھی جا کر معافی مانگو,abhi ja kar maafi maango
کیا اُس نے معافی مانگی,kya usne maafi maangi
بنا معافی کے کام نہیں چلے گا,bina maafi ke kaam nahi chalay ga
یار معافی مانگ لو بس,yaar maafi maang lo bas
اُس نے سیدھی معافی نہیں مانگی,usne seedhi maafi nahi maangi
معافی مانگنا ضروری تھا,maafi maangna zaroori tha
تم سے معافی مانگتا ہوں,tum se maafi mangta hun
اُس نے صرف معافی مانگی اور چلا گیا,usne sirf maafi maangi aur chala gaya
دل سے معافی مانگنا چاہیے تھا,dil se maafi maangna chahiye tha
کسی کی معافی قبول کرنا بھی بڑی بات ہے,kisi ki maafi kabool karna bhi badi baat hai
مجھے تم سے معافی مانگنی چاہیے تھی پر مجھے پتہ نہیں تھا,mujhe tumse maafi maangni chahiye thi par mujhe pata nahi tha
معافی مانگو یار,mafi maango yaar
اُس نے معافی نہیں مانگی,usne mafi nahi maangi
معافی کے بنا غصہ نہیں جائے گا,mafi ke bina gussa nahi jayega
پلیز معافی مانگ لو اُس سے,please mafi maang lo usse
کوئی معافی مانگے تو بھی نہیں مانتا,koi mafi maange to bhi nahi manta
معافی لینا اور دینا دونوں ضروری ہیں,mafi lena aur dena dono zaroori hain
اُس نے معافی مانگ کے معاملہ ختم کِیا,usne mafi maang ke maamla khatam kiya
ایک بار معافی مانگ لو پھر سب ٹھیک ہو جائے گا,aik baar mafi maang lo phir sab theek ho jayega
معافی صرف زبان سے نہیں، دل سے مانگو,"mafi sirf zaban se nahi, dil se maango"
تم نے غلطی کی، اب معافی مانگو,"tumne galti ki, ab mafi maango"
معافی مانگ لو اب,maafeey maang lo ab
کیا اُس نے معافی مانگی تم سے,kya usne maafeey maangi tumse
معافی مانگنا طاقت کا کام ہے,maafeey maangna taqat ka kaam hai
معافی مانگ لو بھائی,maafiy maang lo bhai
اُس نے معافی مانگی یا نہیں,usne maafiy maangi ya nahi
جو ماضی میں ہوا سو ہوا,jo maazi mein hua so hua
ماضی کے بارے میں مت سوچو,maazi ke baare mein mat socho
اپنا ماضی بھول جاؤ,apna maazi bhool jao
اُس کا ماضی بہت برا تھا,uska maazi bahut bura tha
ماضی میں واپس نہیں جا سکتا کوئی,maazi mein return nahi ja sakta koi
تم اپنے ماضی سے بہت زیادہ چپکے ہو,tum apne maazi se bahut zyada chipke ho
ماضی کی غلطیاں یاد کر کے کیا ملتا ہے,maazi ki galtiyan yaad karke kya milta hai
اِس کا ماضی تو بالکل صاف ہے,iska maazi to bilkul saaf hai
ماضی بدل نہیں سکتا، آگے بڑھو,"maazi badal nahi sakta, aage badho"
اُس کے ماضی کے بارے میں مت پوچھو,uske maazi ke baare mein mat poochho
ماضی کو بھول کے آگے بڑھو,mazi ko bhool ke aage badho
اُس کا ماضی بہت کامپلیکیٹڈ ہے,uska mazi bahut complicated hai
ماضی کی باتیں دوبارہ مت اٹھاؤ,mazi ki baatein dobara mat uthao
ماضی میں بھی ایسا ہی ہوا تھا,mazi mein bhi aisa hi hua tha
ماضی کو پکڑ کے بیٹھنا بھی کوئی زندگی ہے,mazi ko pakad ke baithna bhi koi zindagi hai
جو ماضی میں ہو گیا اُسے جانے دو,jo mazi mein ho gaya use jaane do
ماضی سے سیکھو، مگر ماضی میں مت جیو,"mazi se seekho, magar mazi mein mat jio"
ماضی کو چھوڑ کے آگے دیکھو,maazee ko chhod ke aage dekho
اُس کا ماضی جانتا ہوں مَیں,uska maazee jaanta hun main
ماضی کی باتیں کرنے سے کچھ نہیں ہوتا,maazee ki baatein karne se kuch nahi hota
ماضی میں اتنا ڈرا ہوا تھا وہ,maadee mein itna dara hua tha woh
ماضی کی کہانیاں مت سناؤ مجھے,maadee ki kahaniyan mat sunao mujhe
وہ فیل ہو گیا,woh fail ho gaya
مَیں فیل ہو گئی پھر سے,main fail ho gayi phir se
امتحان میں فیل ہوا,exam mein fail hua
کیا تم فیل ہو گئے,kya tum fail ho gaye
میتھ میں فیل ہو گیا وہ,math mein fail ho gaya woh
تین بار فیل ہوا ہے وہ اِسی سبجیکٹ میں,teen baar fail hua hai woh isi subject mein
فیل ہونے سے زندگی ختم نہیں ہوتی,fail hone se zindagi khatam nahi hoti
اگر فیل ہو گئے تو پھر دو گے,agar fail ho gaye to phir doge
یار فیل ہو گیا مَیں تو,yaar fail ho gaya main to
رزلٹ آیا تو فیل تھا,result aaya to fail tha
صرف دو مارکس سے فیل ہوا,sirf do marks se fail hua
پتہ تھا فیل ہوں گا اگر اِس طرح پڑھے,pata tha fail honga agar is tarah parhe
وہ ہر سال فیل ہوتا ہے اور کچھ نہیں کرتا,woh har saal fail hota hai aur kuch nahi karta
پیپر بہت مشکل تھا اِس لیے فیل ہوا,paper bahut mushkil tha isliye fail hua
فیل ہونے کے بعد ماما نے بہت ڈانٹا,fail hone ke baad mama ne bahut daanta
ایک سبجیکٹ میں فیل تھا باقی سب میں پاس,ek subject mein fail tha baaki sab mein pass
کیا تم فیل ہو گئے تھے اُس سال,kya tum fail ho gaye tha uss saal
فیل ہوا تو سپلیمنٹری دینی پڑے گی,fail hua to supplementary deni padegi
آج رزلٹ ہے، ڈر لگ رہا ہے فیل نہ ہو جاؤں,"aaj result hai, dar lag raha hai fail na ho jaun"
وہ فیل ہو گیا امتحان میں,woh feel ho gaya exam mein
میں فیل ہو گئی ٹیسٹ میں,main feel ho gayi test mein
بھائی فیل ہو گیا فزکس میں,bhai feel ho gaya physics mein
پتہ تھا فیل ہو گا,pata tha feel hoga
فیل ہونے کے بعد بہت رویا وہ,feel hone ke baad bahut roya woh
کاش فیل نہ ہوتا,kaash feel na hota
فیل نہ ہو اِس بار کسی طرح,feel na ho iss baar kisi tarah
فیل ہوا تو گھر میں جھگڑا ہو گا,feel hua to ghar mein jhagra hoga
دھیان رکھو,dhyan rakho
دھیان سے سنو,dhyan se suno
دھیان نہیں دیا تم نے,dhyan nahi diya tune
روڈ پہ دھیان رکھو,road pe dhyan rakho
کیا دھیان ہے تمہارا,kya dhyan hai tumhara
پڑھائی پہ دھیان دو,padhai pe dhyan do
اپنا دھیان رکھو,apna dhyan rakho
دھیان کہاں ہے تیرا,dhyan kahan hai tera
کھانے پہ دھیان دو، فون بعد میں دیکھ لینا,"khane pe dhyan do, phone baad mein dekh lena"
کوئی دھیان نہیں دیتا اسے,koi dhyan nahi deta isko
دھیان سے کرو کام، غلطی ہو جاتی ہے,"dhyan se karo kaam, galti ho jaati hai"
اُس نے میری بات پہ بالکل دھیان نہیں دیا,usne meri baat pe bilkul dhyan nahi diya
گاڑی چلاتے وقت دھیان رکھنا بہت ضروری ہے,gaadi chalaate waqt dhyan rakhna bahut zaroori hai
بچوں کا دھیان رکھنا ماں کا کام ہے,bacchon ka dhyan rakhna maa ka kaam hai
دھیان رکھنا اپنا,dhayan rakhna apna
دھیان سے سنو کیا کہہ رہا ہوں,dhayan se suno kya keh raha hun
اُس نے زیادہ دھیان نہیں دیا,usne zyada dhayan nahi diya
کام پہ دھیان دو یار,kaam pe dhayan do yaar
دھیان سے پڑھو,dheyaan se padho
دھیان رکھنا اپنا اور گھر والوں کا,dheyaan rakhna apna aur ghar waalon ka
دھیان نہیں تھا مجھے,dheyaan nahi tha mujhe
دھیان سے سنو کیا کہہ رہی ہوں,dhiaan se suno kya keh rahi hun
دھیان کہاں ہے آج تیرا,dhiaan kahan hai aaj tera
کسی نے دھیان نہیں دیا,kisi ne dhiaan nahi diya
دھیان دو بات پہ,dhiyan do baat pe
دھیان ہے یا نہیں,dhiyan hai ya nahi
دھیان رکھنا اپنا یہاں,dhiyan rakhna apna yahan
بچوں پہ دھیان رکھو,bachon pe dhiyan rakho
دھیان دو پڑھائی پہ,dhyaan do padhai pe
دھیان سے کرو کام,dhyaan se karo kaam
دھیان رکھنا یار,dhyaan rakhna yaar
دھیان نہیں تھا تمہارا,dhyaan nahi tha tumhara
کھیل میں اتنا دھیان مت دو,khel mein itna dhyaan mat do
یہ کام چھوڑ دو,yeh kaam chhod do
اُسے چھوڑ دو,usse chhod do
مجھے چھوڑ کے مت جاؤ,mujhe chhod ke mat jao
یہ بری عادت چھوڑ دو,yeh buri aadat chhod do
سب چھوڑ کے گیا وہ,sab chhod ke gaya woh
فون چھوڑ اور کھانا کھاؤ,phone chhod aur khaana khao
نوکری چھوڑ دی اُس نے,naukri chhod di usne
یار یہ ٹاپک چھوڑ یار,yaar yeh topic chhod yaar
شہر چھوڑ کے گئے وہ لوگ,shaher chhod ke gaye woh log
چھوڑ دو یہ پرانی باتیں,chhod do yeh puraani baatein
سگریٹ چھوڑ دی میں نے,cigarette chhod di maine
کام بیچ میں چھوڑ کے مت جاؤ,kaam beech mein chhod ke mat jao
یہ سب چھوڑ اور آؤ,yeh sab chor aur aao
چھوڑ دو یہ باتیں,chor do yeh baatein
اُسے چھوڑ کے آ گئی وہ,usse chor ke aa gayi woh
نشہ چھوڑ دو پلیز,nasha chor do please
چھوڑ یار کیا رکھا ہے اِس میں,chor yaar kya rakha hai isme
بُرا چھوڑ کے اچھا ڈھونڈو,bura chor ke acha dhundo
چھوڑنا آسان نہیں ہوتا,chhodna easy nahi hota
اُس نے چھوڑنا ٹھیک سمجھا,usne chhodna theek samjha
مَیں نہیں چاہتا چھوڑنا یہ سب,main nahi chahta chhodna yeh sab
یہ دوست چھوڑنا بہت مشکل تھا,yeh dost chhodna bahut mushkil tha
موبائل چھوڑنا پڑے گا کچھ وقت کے لیے,mobile chhodna padega kuch waqt ke liye
اُس نے خود چھوڑنا چاہیے تھا,usne khud chhudna chahiya tha
چھوڑنا آسان لگتا ہے پر ہوتا نہیں,chhudna easy lagta hai par hota nahi
چھوڑو یار کیا فائدہ,chhodo yaar kya fayda
چھوڑو اسے مت الجھاؤ خود کو,chhodo isko mat uljhao khud ko
چھوڑو اب یہ بات,chhodo ab yeh baat
چھوڑو نا یار ہونے دو,chhodo na yaar hone do
چھوڑو اِس ٹاپک کو آگے بڑھو,chhodo is topic ko aage badho
چھوڑو اِس وقت یہ سوچ رہو کچھ اور,chhodo iss waqt yeh soch raho kuch aur
یہ بزنس بڑھنا چاہیے,yeh business badhna chahiye
مجھے آگے بڑھنا ہے,mujhe aage badhna hai
قیمتوں کا بڑھنا روک نہیں سکتے,prices ka badhna rok nahi saktay
اُس نے بڑھنا چھوڑ دیا,usne badhna chhor diya
یہ کام کرتے رہنے سے ہی بڑھنا پوسیبل ہے,yeh kaam karte rahne se hi badhna possible hai
صحت کا بڑھنا اچھا سائن ہے بچے میں,sehat ka badhna achha sign hai bacche mein
ٹریفک کا بڑھنا ایک بڑی پرابلم ہے,traffic ka badhna ek badi problem hai
زندگی میں بڑھنا ضروری ہے رک جانا نہیں,zindagi mein badhna zaroori hai ruk jaana nahi
محنت کرو تو بڑھنا پکا ہے,mehnat karo to badhna pakka hai
وقت کے ساتھ بڑھنا سیکھنا چاہیے,waqt ke saath badhna seekhna chahiye
نئے کام میں بڑھنا پہلے سلو ہوتا ہے,naye kaam mein badhna pehle slow hota hai
اسے ابھی بڑھنا ہے,isko abhi badhnaa hai
محنت کے بغیر بڑھنا مشکل ہے,mehnat ke bagair badhnaa mushkil hai
بچے کا بڑھنا دیکھ کے خوشی ہوتی ہے,bacche ka badhnaa dekh ke khushi hoti hai
تنخواہ کا بڑھنا ضروری ہے,salary ka badhnaa zaroori hai
اپنے آپ کو بڑھنا ہوتا ہے، دوسروں پہ ڈیپنڈ نہیں رہنا,"apne aap ko badhnaa hota hai, dusro pe depend nahi rehna"
یہاں سے بڑھنا ہی ٹھیک رہے گا,yahan se badhana hi theek rahega
اُس کا بڑھنا بند ہو گیا تھا بیماری کی وجہ سے,uska badhana band ho gaya tha bimari ki wajah se
بڑھنا ایک پروسیس ہے، ٹائم لگتا ہے,"badhana ek process hai, time lagta hai"
یہ معافی کا وقت نہیں تھا، یہ غلطی کی بات تھی,"yeh maafi ka waqt nahi tha, yeh galti ki baat thi"
معافی مانگنا آسان نہیں ہوتا سب کے لیے,maafi maangna asan nahi hota sab ke liye
اُس نے صرف ایک معافی میں سب بھول گئے,usne sirf ek maafi mein sab bhool gaye
معافی مانگنے کے بعد بھی ٹرسٹ نہیں بنا,mafi maangne ke baad bhi trust nahi bana
ماضی میں کوئی بھی واپس نہیں جا سکتا,maazi mein koi bhi wapis nahi ja sakta
اپنا ماضی جاننا چاہتے ہو تو پرانا ایلبم دیکھو,apna maazi jaan'na chahte ho to purana album dekho
ماضی کی غلطیاں آج کا بوجھ نہیں بننی چاہیے,mazi ki galtiyan aaj ka bojh nahi banni chahiye
سب دوست پاس ہو گئے، مَیں اکیلا فیل ہوا,"sab dost pass ho gaye, main akela fail hua"
کلاس میں فیل ہونا شرمندگی کی بات نہیں,class mein fail hona sharmindagi ki baat nahi
اُس سال فیل ہوا، اگلی سال ڈبل محنت کی,"uss saal fail hua, agli saal double mehnat ki"
فیل ہو بھی گئے تو دوبارہ کوشش کرو,fail ho bhi gaye to dobara koshish karo
گھر جا,ghar ja
گھر جاؤ,ghar jao
گھر آ جاؤ,ghar aa jao
گھر پر ہوں,ghar par hun
گھر پہ ہوں,ghar pe hun
گھر نہیں ہوں,ghar nahi hun
وہ گھر گیا,woh ghar gaya
مَیں گھر جا رہا ہوں,main ghar ja raha hun
گھر پہنچ گیا,ghar pahonch gaya
گھر کب آؤ گے,ghar kab aoge
آج گھر رہو,aaj ghar raho
کیا تم گھر ہو,kya tum ghar ho
گھر سے نکل,ghar se nikal
گھر بند کر لو,ghar band kar lo
گھر کا کھانا کھاؤ,ghar ka khaana khao
کل گھر آنا,kal ghar aana
رات کو گھر آ جانا,raat ko ghar aa jana
گھر میں سب ٹھیک ہے,ghar mein sab theek hai
یار گھر چھوڑ آؤ پہلے,yaar ghar chhod aao pehle
گھر والے کیا کہتے ہیں,ghar wale kya kehte hain
سیدھا گھر جاؤ کہیں مت رکو,seedha ghar jao kahi mat ruko
گھر میں اکیلے ہوں آج,ghar mein akele hoon aaj
گھر کا کرایہ بہت زیادہ ہے,ghar ka kiraaya bahut zyada hai
نیا گھر لے لیا اُنہوں نے,naya ghar le liya unhone
گھر سے کام کر رہا ہوں آج,ghar se kaam kar raha hun aaj
میرے ساتھ آ,mere sath aa
میرے ساتھ چلو,mere sath chalo
ان کے ساتھ جا رہا ہوں,unke sath ja raha hun
کیا تم میرے ساتھ ہو,kya tum mere sath ho
وہ میرے ساتھ ہے,woh mere sath hai
اپنے دوست کے ساتھ گیا,apne dost ke sath gaya
ساتھ میں کھانا کھاتے ہیں,sath mein khana khate hain
کسی کے ساتھ مت جاؤ,kisi ke sath mat jao
ہم ساتھ ساتھ چلتے ہیں,hum sath sath chalte hain
اُس نے میرے ساتھ ایسا کِیا,usne mere sath aisa kiya
میرے ساتھ بار بار ایسا ہوتا ہے,mere sath baar baar aisa hota hai
تم میرے ساتھ کیوں نہیں آئے,tum mere sath kyu nahi aaye
وہ اپنی اماں کے ساتھ آئی,woh apni amma ke sath aayi
ساتھ ہوتا تو ٹھیک ہوتا,sath hota to thik hota
مجھے کسی کے ساتھ رہنا پسند نہیں,mujhe kisi ke sath rehna pasand nahi
سب کے ساتھ اچھی طرح پیش آؤ,sab ke sath achi tarah pesh aao
گھر والوں کے ساتھ وقت بتاؤ,ghar waalon ke sath waqt bitao
یار ساتھ میں بیٹھو یہاں,yaar sath mein baitho yahan
کل میرے ساتھ چلنا بازار,kal mere sath chalna bazaar
اُس کے ساتھ رہنا آسان نہیں تھا,uske sath rehna asan nahi tha
مجھے ڈر لگ رہا ہے,mujhe dar lag raha hai
ڈر مت,dar mat
ڈر کیوں رہا ہے,dar kyun raha hai
کوئی ڈر نہیں,koi dar nahi
مجھے ڈر لگتا ہے اندھیروں سے,mujhe dar lagta hai andheron se
وہ بہت ڈرتا ہے,woh bahut darta hai
اِس سے ڈرو مت,isse daro mat
یار ڈر گیا مَیں,yaar dar gaya main
اتنا ڈر کیا ہے,itna dar kya hai
اُسے کوئی ڈر نہیں,usse koyi dar nahi
اندھیروں سے ڈر لگتا ہے مجھے,andheron se dar lagta hai mujhe
ڈر کے وجہ سے نہیں گیا,dar ke wajah se nahi gaya
ڈر کو چھوڑ کے آگے بڑھو,dar ko chhod ke aage badho
بچوں کو اِس چیز سے بہت ڈر لگتا ہے,bacchon ko iss cheez se bahut dar lagta hai
ڈر مجھے بھی لگ رہا تھا یار,dar mujhe bhi lag raha tha yaar
کیا تمہیں بھی ڈر لگا,kya tumhe bhi dar laga
اکیلے ڈر لگتا ہے رات کو,akele dar lagta hai raat ko
ڈر کے مارے چپ رہا,dar ke mare chup raha
اُسے عجیب چیز سے ڈر لگتا ہے,usse ajeeb cheez se dar lagta hai
کچھ نہیں ہو گا ڈرو مت,kuch nahi hoga daro mat
بس کرو اب,bas karo ab
بس بھی کرو,bas bhi karo
بس یہی چاہیے تھا,bas yahi chahiye tha
بس ہو گیا,bas ho gaya
بس ایک منٹ,bas ek minute
بس اب چپ رہو,bas ab chup raho
مَیں بس دیکھ رہا تھا,main bas dekh raha tha
بس تھوڑا سا اور,bas thoda sa aur
یار بس کر یہ ڈرامہ,yaar bas kar yeh drama
بس ایک کام کرو,bas ek kaam karo
بس اتنا ہی کرنا تھا,bas itna hi karna tha
بس وقت برباد کِیا,bas waqt barbad kiya
وہ بس آ رہا تھا,woh bas aa raha tha
بس کچھ نہیں سوچنا,bas kuch nahi sochna
صبح کی بس مس ہو گئی,subah ki bas miss ho gayi
بس میں ساتھ بیٹھنا مجھے پسند نہیں,bas mein saath bethna mujhe pasand nahi
بس لے لو ورنہ دیر ہو جائے گی,bas le lo warna der ho jayegi
اسکول کی بس آتی ہے دس بجے,school ki bas aati hai dus baje
آج بس نہیں آئی,aaj bas nahi aayi
بس والی گلی میں اتارنا,bas wali gali mein utaarna
باہر جاؤ,bahar jao
باہر آ جاؤ,bahar aa jao
مَیں باہر ہوں,main bahar hun
باہر مت جاؤ ابھی,bahar mat jao abhi
وہ باہر گیا,woh bahar gaya
باہر بہت گرمی ہے,bahar bahut garmi hai
باہر سے آ رہا ہوں,bahar se aa raha hun
باہر کھانا کھائیں,bahar khaana khayein
باہر نکل کے بات کرو,bahar nikal ke baat karo
باہر سے دروازہ بند کرو,bahar se darwaza band karo
کیا باہر بارش ہو رہی ہے,kya bahar barish ho rahi hai
باہر اندھیرا ہو گیا,bahar andheera ho gaya
باہر بہت شور ہے,bahar bahut shor hai
باہر کا موسم اچھا ہے آج,bahar ka mausam acha hai aaj
رات کو باہر مت جاؤ اکیلے,raat ko bahar mat jao akele
باہر گئے تھے گھومنے,bahar gaye the ghumne
اُس کا کام باہر کا ہے,uska kaam bahar ka hai
باہر والے شور مچا رہے ہیں,bahar wale shor macha rahe hain
باہر کا کھانا گھر سے سستا پڑتا ہے کبھی کبھی,bahar wala khana ghar se sasta padta hai kabhi kabhi
باہر بہت دھوپ ہے ذرا سنسکرین لگا لینا,bahar bohot dhoop hai zara sunscreen laga lena
کل آنا,kal aana
کل ملتے ہیں,kal milte hain
کل گیا تھا,kal gaya tha
کل نہیں آ سکتا,kal nahi aa sakta
کل کیا ہوا,kal kya hua
کل اسکول نہیں تھا,kal school nahi tha
کل رات نیند نہیں آئی,kal raat neend nahi aayi
کل کا انتظار کر رہے ہیں,kal ka wait kar rahe hain
کل سے کام شروع کریں گے,kal se kaam shuru karein ge
کل کی بات ہے,kal ki baat hai
کل موسم بہت خراب تھا,kal mausam bahut kharab tha
کل ملنا ضرور,kal milna zaroor
کل صبح آنا سیدھا یہاں,kal subah aana seedha yahan
جو کل ہوا وہ مت سوچو,jo kal hua woh mat socho
کل دِن بھر گھر پر رہا,kal din bhar ghar par raha
کل رات کا کھانا بھی نہیں کھایا تھا,kal raat ka khana bhi nahi khaya tha
کل ٹیسٹ تھا اور مَیں تیار نہیں تھا,kal test tha aur main tayyar nahi tha
کل آفس میں بہت کام تھا,kal office mein bahut kaam tha
آج کا دِن اچھا گیا,aaj ka din acha gaya
پورا دِن کام کِیا,poora din kaam kiya
یہ دِن یاد رہے گا,yeh din yaad rahega
ہر دِن ایسا ہونا چاہیے,har din aisa hona chahiye
دِن بھر تھکا ہوا ہوں,din bhar thaka hua hun
کچھ دِن اور رکو,kuch din aur ruko
تین دِن بعد آؤں گا,teen din baad aaun ga
دِن چڑھتے چڑھتے آ گیا,din charhte charhte aa gaya
یہ کونسا دِن ہے,yeh kaunsa din hai
دِن بھر سوتا رہا,din bhar so ta raha
آج بہت برا دِن تھا,aaj bahut bura din tha
